사용월,호선명,지하철역,04시-05시 승차인원,04시-05시 하차인원,05시-06시 승차인원,05시-06시 하차인원,06시-07시 승차인원,06시-07시 하차인원,07시-08시 승차인원,07시-08시 하차인원,08시-09시 승차인원,08시-09시 하차인원,09시-10시 승차인원,09시-10시 하차인원,10시-11시 승차인원,10시-11시 하차인원,11시-12시 승차인원,11시-12시 하차인원,12시-13시 승차인원,12시-13시 하차인원,13시-14시 승차인원,13시-14시 하차인원,14시-15시 승차인원,14시-15시 하차인원,15시-16시 승차인원,15시-16시 하차인원,16시-17시 승차인원,16시-17시 하차인원,17시-18시 승차인원,17시-18시 하차인원,18시-19시 승차인원,18시-19시 하차인원,19시-20시 승차인원,19시-20시 하차인원,20시-21시 승차인원,20시-21시 하차인원,21시-22시 승차인원,21시-22시 하차인원,22시-23시 승차인원,22시-23시 하차인원,23시-24시 승차인원,23시-24시 하차인원,00시-01시 승차인원,00시-01시 하차인원,01시-02시 승차인원,01시-02시 하차인원,02시-03시 승차인원,02시-03시 하차인원,03시-04시 승차인원,03시-04시 하차인원,작업일자,합계
202501,과천선,평촌,52,2,4156,2290,19414,8397,51657,29327,41820,73993,22760,25796,18934,15186,18860,12260,19834,14081,18542,17255,18918,15230,22137,17000,24323,20829,41687,28435,53927,43839,20067,38024,15502,21049,14258,17733,9962,15576,3712,8779,448,3099,0,0,0,0,0,0,20250203,869150
202501,분당선,가천대,26,1,4004,775,5902,3086,14966,4519,20889,14299,14788,10029,9622,7176,9025,6567,9913,7411,10709,9256,9560,7636,11000,9019,14881,10250,13652,13291,11881,19091,6500,16403,4173,12203,3815,13059,3134,12587,1586,9169,77,969,2,15,0,0,0,0,20250203,366916
202501,분당선,강남구청,19,0,1204,623,2354,5166,6037,15387,9097,46921,7665,36389,7534,17815,8713,13252,10000,12915,11078,14163,12695,12937,14057,12300,17027,12639,27719,15329,41768,19351,21687,11522,12682,6663,11413,5561,7656,5460,2638,3011,88,624,0,6,0,0,0,0,20250203,501165
202501,분당선,개포동,3,0,952,476,3244,3260,9942,4381,11392,7912,7666,5975,6496,5305,6465,4374,7047,5209,6629,5516,6466,5808,6896,6694,7408,7667,8220,9666,7787,12796,4753,10312,3984,6327,3568,6072,3066,5509,1261,3163,34,88,0,1,0,0,0,0,20250203,229790
202501,분당선,구룡,1,1,913,519,2575,3051,6354,5274,8867,7740,6810,3895,5793,2678,5314,2677,6069,3213,5973,3609,6076,3914,4920,4667,5701,5285,5635,6755,5184,9054,3069,6795,1928,4114,1505,3827,1021,3565,313,2381,24,80,0,3,0,0,0,0,20250203,167142
202501,분당선,구성,123,2,2368,510,8327,3882,19031,7636,20886,9995,13429,6493,11101,5328,9937,5735,9781,6777,8342,7092,8086,7592,8444,9945,9513,11837,12317,17135,11159,22805,6613,17126,5607,12356,4292,9561,3271,10400,1699,6063,147,607,0,12,0,0,0,0,20250203,353362
202501,분당선,기흥,284,11,5183,778,14140,4053,31124,10184,29717,16990,17969,9099,13420,7562,13120,8788,12578,8416,12920,10874,12531,10588,13029,12177,14036,14430,18452,19943,21151,31790,10683,26629,8422,16512,7695,13113,5450,13381,2093,8062,56,867,0,8,0,0,0,0,20250203,508308
202501,분당선,대모산입구,7,0,2209,586,6050,2840,17452,4973,20312,8796,12804,5675,9261,4317,8411,4818,8565,5429,8165,6244,6955,6226,7110,7999,8347,9322,9498,12148,9192,16694,4482,14218,3244,8626,2603,8515,1678,8742,572,4752,19,286,0,13,0,0,0,0,20250203,288155
202501,분당선,도곡,59,1,1474,1068,3883,5923,9062,11019,12423,21078,10690,17462,9270,8424,9872,8491,10493,8257,11390,8962,11559,9271,13000,9777,13568,10690,19407,13028,20474,15179,10588,11969,7580,8280,5774,7421,4603,6661,990,3729,62,344,1,2,0,0,0,0,20250203,373258
202501,분당선,망포,68,1,5434,2808,18788,8632,43933,24535,38565,37986,21848,16184,16260,9532,15577,10411,16802,11867,16889,12359,15214,12527,17389,16878,21290,19235,33777,26972,39699,43864,19743,39968,15569,25110,12789,19501,10346,17806,3874,11717,127,800,1,6,0,0,0,0,20250203,752681
202501,분당선,매교,351,1,4345,723,9231,2908,17472,3290,17236,6269,9199,4865,6294,4190,5933,4806,6404,5362,6022,5460,5503,5960,5721,6169,7295,8039,7366,12192,7129,17946,3975,12336,3059,8948,2592,7381,1927,6129,580,3831,22,485,0,0,0,3,0,0,20250203,254949
202501,분당선,매탄권선,66,1,3640,684,9354,2479,18130,4610,16653,8291,9739,5454,7801,3670,7052,3430,7279,4311,6313,5229,5942,4641,6379,6564,7410,8374,8639,11646,8409,19415,4757,13713,3579,9417,2916,8080,2380,7603,752,4928,36,488,1,2,0,0,0,0,20250203,270257
202501,분당선,모란,436,24,13291,2414,18919,9955,43805,18663,57256,29219,41667,24070,30092,24924,29716,30589,33397,31852,34081,34337,32897,34386,35351,39315,36417,40313,36457,43342,34940,57087,20376,43175,14997,30840,13439,28254,10983,22860,6043,13876,327,1273,17,32,0,0,0,0,20250203,1105704
202501,분당선,미금,585,5,3235,677,10723,10471,21519,18210,25686,38747,20911,30370,21596,20989,24453,20933,24374,22526,25185,24595,26517,23370,30631,23979,29711,25851,32620,29160,35040,35840,19244,26715,16023,18750,15684,16459,11721,14289,3908,8381,179,1957,6,14,0,0,0,0,20250203,811839
202501,분당선,보정,36,0,924,68,2887,1094,7304,2111,7977,4229,5396,1950,4491,1565,4114,1957,3832,2088,3571,2217,3443,2649,3659,3659,3640,4427,3558,4985,3205,6120,1493,5346,1109,3649,1022,3420,884,3547,318,2142,1,132,0,6,0,0,0,0,20250203,120225
202501,분당선,복정,0,0,1,0,0,0,0,0,3,0,10,0,7,0,12,0,8,0,10,0,11,0,4,0,7,0,5,0,8,0,3,0,4,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,20250203,96
202501,분당선,상갈,28,1,2950,769,7069,2409,15580,5658,16204,7470,11394,4582,8282,3508,7917,4216,7009,4163,7030,5708,6284,5834,6504,6572,6857,9083,9346,11662,9183,14825,4666,12714,3149,9581,2684,8339,1486,7717,563,4403,4,593,0,5,0,0,0,0,20250203,264001
202501,분당선,서울숲,129,0,2322,497,4407,5025,10084,19600,18447,37846,12664,30245,8352,19094,9123,16481,11109,17716,13100,19131,15342,18618,19519,18048,24105,18255,37763,19791,45567,24846,27067,15812,17220,8568,13933,7082,8384,6490,2449,3141,117,773,0,5,0,0,0,0,20250203,608267
